url,credibility,description
https://www.revolver.news/,low,fake_news
https://righterway.com/,low,fake_news
https://www.rsbnetwork.com/,low,fake_news
https://rightwingtribune.com/,low,fake_news
https://riverbendtimes.com/,low,fake_news
https://riverregiontimes.com/,low,fake_news
https://rockfordsun.com/,low,fake_news
https://rockislandtoday.com/,low,fake_news
https://www.roguereview.net/,low,fake_news
https://romereporter.com/,low,fake_news
https://de.rt.com/,low,fake_news
https://www.rudaw.net/english,low,fake_news
https://rumble.com/,low,fake_news
https://ruptly.tv/,low,fake_news
https://www.rushlimbaugh.com/,low,fake_news
https://russia-insider.com/,low,fake_news
https://tass.com/,low,fake_news
https://sacramentostandard.com/,low,fake_news
https://salemnewswire.com/,low,fake_news
https://sandiegocitywire.com/,low,fake_news
https://sanfransun.com/,low,fake_news
https://sangamonsun.com/,low,fake_news
https://sanjoaquintimes.com/,low,fake_news
https://sanjosestandard.com/,low,fake_news
https://santaclaratoday.com/,low,fake_news
https://santacruzstandard.com/,low,fake_news
https://sanmateosun.com/,low,fake_news
https://www.smobserved.com,low,fake_news
https://sarasotareview.com/,low,fake_news
https://savannahstandard.com/,low,fake_news
https://scalaskanews.com/,low,fake_news
https://seatlantanews.com/,low,fake_news
https://sckansasnews.com/,low,fake_news
https://sealaskanews.com/,low,fake_news
https://searizonanews.com/,low,fake_news
https://www.secureamericanow.org/,low,fake_news
https://secoloradonews.com/,low,fake_news
https://seconnnews.com/,low,fake_news
https://sedenvernews.com/,low,fake_news
https://segeorgianews.com/,low,fake_news
https://seillinoisnews.com/,low,fake_news
https://seindiananews.com/,low,fake_news
https://seiowanews.com/,low,fake_news
https://auburntimes.com/,low,fake_news
https://selatimes.com/,low,fake_news
https://sfvtoday.com/,low,fake_news
https://sgvstandard.com/,low,fake_news
https://shoalstoday.com/,low,fake_news
https://www.shtfplan.com/,low,fake_news
https://siouxcitytimes.com/,low,fake_news
https://skepticink.com/,low,fake_news
https://sloreporter.com/,low,fake_news
https://www.sohu.com/,low,fake_news
https://solanosun.com/,low,fake_news
https://southalamedanews.com/,low,fake_news
https://southatlantanews.com/,low,fake_news
https://southbayleader.com/,low,fake_news
https://southbaysdnews.com/,low,fake_news
https://southbendtimes.com/,low,fake_news
https://sonsof1776.com/,low,fake_news
https://southalabamatimes.com/,low,fake_news
https://southbrowardnews.com/,low,fake_news
https://southcentralreporter.com/,low,fake_news
https://southcooknews.com/,low,fake_news
https://silnews.com/,low,fake_news
https://southernindianatoday.com/,low,fake_news
https://southdsmnews.com/,low,fake_news
https://southgeorgiatimes.com/,low,fake_news
https://southgwinnettnews.com/,low,fake_news
https://southindynews.com/,low,fake_news
https://southiowanews.com/,low,fake_news
https://southjeffconews.com/,low,fake_news
https://southlaketoday.com/,low,fake_news
https://southmianews.com/,low,fake_news
https://southnewcastlenews.com/,low,fake_news
https://southorlandonews.com/,low,fake_news
https://southpalmbeachtoday.com/,low,fake_news
https://southpinellastimes.com/,low,fake_news
https://southsactoday.com/,low,fake_news
https://southsfbaynews.com/,low,fake_news
https://southsgvnews.com/,low,fake_news
https://swillinoisnews.com/,low,fake_news
https://southwichitanews.com/,low,fake_news
https://springstimes.com/,low,fake_news
https://fr.sputniknews.com/,low,fake_news
https://snanews.de/,low,fake_news
https://it.sputniknews.com/,low,fake_news
https://stpetestandard.com/,low,fake_news
https://stanislausnews.com/,low,fake_news
http://stateofthenation.co/,low,fake_news
https://stoppingsocialism.com/,low,fake_news
https://southbirminghamtimes.com/,low,fake_news
https://southfultontoday.com/,low,fake_news
https://southoctimes.com/,low,fake_news
https://southpimanews.com/,low,fake_news
https://southsfvtoday.com/,low,fake_news
http://www.speech-point.com/,low,fake_news
http://stfnreport.com/,low,fake_news
https://www.strategic-culture.org,low,fake_news
https://trumpstudents.org/,low,fake_news
https://summit.news,low,fake_news
https://auburntimes.com/,low,fake_news
https://sunflowerstatenews.com/,low,fake_news
https://sunshinesentinel.com/,low,fake_news
http://www.supportisraelnow.com/,low,fake_news
https://survivalblog.com/,low,fake_news
https://sussexreview.com/,low,fake_news
https://swampdrain.com,low,fake_news
https://swalaskanews.com/,low,fake_news
https://swarizonanews.com/,low,fake_news
https://swarkansastimes.com/,low,fake_news
https://swcoloradonews.com/,low,fake_news
https://swconnnews.com/,low,fake_news
https://swindiananews.com/,low,fake_news
https://swiowatimes.com/,low,fake_news
https://swkansasnews.com/,low,fake_news
https://swriversidenews.com/,low,fake_news
